BA00010	10.4075803204357	84
BA00040	12.0588537375391	40
BA00003	7.39908998423215	51
BA00017	7.02801896563487	33
BA00015	11.1101593712585	58
BA00034	6.96789910179113	20
BA00024	7.30281472124138	31
BA00029	5.89287734084984	24
BA00037	13.1840781556902	49
BA00033	4.01690494589921	18
BA00012	6.84008205821571	46
BA00013	5.89630644133447	122
BA00019	13.9258397165437	48
BA00005	9.23762261239455	200
BA00009	7.01885291752944	45
BA00023	10.4271457902721	55
BA00026	7.7970200390675	32
BA00030	6.30706672178304	30
BA00007	5.47508035175648	19
BA00025	10.2893587910774	47
BA00018	7.55167618397407	29
BA00021	6.53864367852122	31
BA00028	8.22438142972641	57
BA00036	8.66622933005717	24
BA00014	7.18978596504661	28
BA00011	6.72646064373866	28
BA00031	11.8474755678435	38
BA00016	14.0093543998506	38
BA00001	10.0612469825204	75
BA00020	7.62484772846503	74
AverageKO_Estimated_CellNumber	8.56742513314301
END
